"filename", "language", "Shell Script", "CMake", "Python", "reStructuredText", "Properties", "C++", "YAML", "Ini", "pip requirements", "Markdown", "JSON", "Objective-C", "C", "Makefile", "HTML", "XML", "Java", "JavaScript", "Perl", "C#", "Visual Basic", "CUDA C++", "Batch", "PostCSS", "Docker", "XSL", "BibTeX", "LaTeX", "comment", "blank", "total"
"/home/lzy/PCT_planner-main/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 95
"/home/lzy/PCT_planner-main/planner/build.sh", "Shell Script", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 33
"/home/lzy/PCT_planner-main/planner/build_thirdparty.sh", "Shell Script", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"/home/lzy/PCT_planner-main/planner/config/__init__.py", "Python", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lzy/PCT_planner-main/planner/config/param.py", "Python", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/home/lzy/PCT_planner-main/planner/lib/3rdparty/gtsam-4.1.1/.github/ISSUE_TEMPLATE/bug-report.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 35
"/home/lzy/PCT_planner-main/planner/lib/3rdparty/gtsam-4.1.1/.github/ISSUE_TEMPLATE/feature-request.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 24
"/home/lzy/PCT_planner-main/planner/lib/3rdparty/gtsam-4.1.1/.github/ISSUE_TEMPLATE/questions-help-support.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/lzy/PCT_planner-main/planner/lib/3rdparty/gtsam-4.1.1/.github/scripts/boost.sh", "Shell Script", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 19
"/home/lzy/PCT_planner-main/planner/lib/3rdparty/gtsam-4.1.1/.github/scripts/python.sh", "Shell Script", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 23, 89
